epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.2638,2.06592,2.78976,2.56956,0.00333,1,0.17752,0.06208,1.62469,3.48095,2.59162,0.00012,0.00012,0.00012
2,193.422,1.339,2.08293,1.76056,0.00333,1,0.60696,0.2801,0.91546,3.05153,1.56262,0.000254852,0.000254852,0.000254852
3,281.383,0.8732,1.33412,1.2702,0.00333,1,0.77952,0.52818,0.91179,2.83904,1.52053,0.00038416,0.00038416,0.00038416
4,388.919,0.77757,1.13056,1.21567,1,0.90635,0.99262,0.8035,0.7446,2.44775,1.27491,0.000507924,0.000507924,0.000507924
5,502.553,0.69425,1.02048,1.18613,1,0.47409,0.98848,0.63552,1.07159,2.68349,1.79556,0.000626144,0.000626144,0.000626144
6,592.262,0.65107,0.9893,1.15065,1,0.86519,0.98848,0.55411,1.51263,2.64001,2.48841,0.00073882,0.00073882,0.00073882
7,695.654,0.68273,0.95192,1.15648,1,0.97483,0.995,0.8194,0.69421,2.31401,1.35702,0.000845952,0.000845952,0.000845952
8,814.048,0.60802,0.87412,1.12116,0.90582,0.85,0.93571,0.68305,0.77899,2.06895,1.24661,0.00094754,0.00094754,0.00094754
9,931.364,0.57463,0.79021,1.05777,0.99347,1,0.995,0.83357,0.61553,1.61724,1.1043,0.00104358,0.00104358,0.00104358
10,1055.19,0.53048,0.73032,1.04296,0.95011,0.95234,0.99024,0.89137,0.50096,1.51805,0.90333,0.00113408,0.00113408,0.00113408
11,1155.39,0.51834,0.73913,0.99768,1,0.99421,0.995,0.85637,0.6034,1.33387,0.94239,0.00121904,0.00121904,0.00121904
12,1261.66,0.48756,0.69988,0.98989,0.99509,1,0.995,0.90244,0.49993,1.16509,0.91093,0.00129845,0.00129845,0.00129845
13,1378.62,0.55718,0.69734,1.04649,0.99666,1,0.995,0.80191,0.72047,1.17199,1.12365,0.00137232,0.00137232,0.00137232
14,1492.56,0.50891,0.66391,1.02008,0.99642,1,0.995,0.89515,0.4101,0.89379,0.79191,0.00144064,0.00144064,0.00144064
15,1608.31,0.55984,0.70705,1.0656,0.99009,1,0.995,0.83548,0.56465,1.275,1.03209,0.0014456,0.0014456,0.0014456
16,1720.02,0.55004,0.64165,1.03671,0.996,1,0.995,0.89462,0.57673,0.96895,0.96498,0.001406,0.001406,0.001406
17,1842.48,0.48148,0.62349,0.99788,0.99695,1,0.995,0.94971,0.38833,0.83677,0.81176,0.0013664,0.0013664,0.0013664
18,1958.08,0.48425,0.58103,1.01313,0.99581,1,0.995,0.94194,0.43769,0.77837,0.84564,0.0013268,0.0013268,0.0013268
19,2064.09,0.44277,0.53358,0.96175,0.99705,1,0.995,0.94745,0.3495,0.65542,0.71587,0.0012872,0.0012872,0.0012872
20,2207.64,0.41788,0.52633,0.95259,0.99737,1,0.995,0.97977,0.3424,0.72763,0.72901,0.0012476,0.0012476,0.0012476
21,2335.2,0.40857,0.54597,0.97485,0.99743,1,0.995,0.97184,0.38094,0.59886,0.75115,0.001208,0.001208,0.001208
22,2435.99,0.38107,0.49302,0.95951,0.99724,1,0.995,0.90263,0.46874,0.64529,0.83101,0.0011684,0.0011684,0.0011684
23,2534.37,0.41495,0.50218,0.97163,0.99723,1,0.995,0.89626,0.52426,0.6724,0.88262,0.0011288,0.0011288,0.0011288
24,2635.81,0.4279,0.49438,0.95552,0.99741,1,0.995,0.96877,0.31818,0.61807,0.69152,0.0010892,0.0010892,0.0010892
